VAR,STAT_CODE,ITEM_CODE,ITEM_CODE2,DATA_CNT,CYCLE
APARTMENT,901Y089,200,?,195,M
APARTMENT_JEONSE,901Y063,P64ACA,?,437,M
CONSTRCTN_INVEST_G,200Y002,10124,?,248,Q
CRRNT_ACC,301Y013,000000,?,507,M
DOMESTIC_INVEST_RATIO,200Y002,40102,?,248,Q
EXPORT_PRICE,402Y014,*AA,W,616,M
EXT2GNI,200Y002,501,?,248,Q
FACILITY_INVEST_G,200Y002,10123,?,248,Q
FIN_ACC,301Y013,BOPF00000000,?,507,M
FOREIGN_RESERVES,732Y001,99,?,616,M
GOODS_BAL,301Y013,100000,?,507,M
HOUSE_JEONSE,901Y063,P64A,?,437,M
IMPORT_PRICE,401Y015,*AA,W,616,M
LABOR_COST,901Y088,A70A,?,45,Q
LABOR_PRODUCTIVITY,901Y107,A,I70,44,Q
Lf,111Y003,LAS0000,?,435,M
M1,101Y018,BBLS00,?,627,M
M2,101Y003,BBHS00,?,435,M
NET_TERMS_TRADE,403Y005,A,?,412,M
OPERATION_RATIO,901Y025,I31A,?,507,M
PER_HOUR_WAGES,901Y102,A10001,?,44,Q
PPI,404Y014,*AA,?,688,M
PRIVATE_CONSUM_G,200Y002,10122,?,248,Q
SAVING_RATE,200Y002,40101,?,248,Q
SERVICES_BAL,301Y013,200000,?,507,M
