"ITEM_CODE","USE","NAME","name","new_code1","new_code2","new_code3"
"AI1AB","O","PRIVATE_CONSUM_G","민간소비증감률(실질)","200Y002","10122",""
"AI1AC","O","FACILITY_INVEST_G","설비투자증감률(실질)","200Y002","10123",""
"AI1AD","O","CONSTRCTN_INVEST_G","건설투자증감률(실질)","200Y002","10124",""
"AI1AE","O","SAVING_RATE","총저축률","200Y002","40101",""
"AI1AF","O","DOMESTIC_INVEST_RATIO","국내총투자율","200Y002","40102",""
"AI1AG","O","EXT2GNI","수출입의 대 GNI 비율","200Y002","501",""
"AI1AH","O","OPERATION_RATIO","제조업 평균가동률","901Y025","I31A",""
"AI1AO","O","LABOR_PRODUCTIVITY","노동생산성지수","901Y107","A",""
"AI1AP","O","LABOR_COST","단위노동비용지수","901Y088","A70A",""
"AI1AQ","O","PER_HOUR_WAGES","시간당명목임금지수","901Y102","A10001",""
"AI1BA","O","PPI","생산자물가지수","404Y014","*AA",""
"AI1BD","O","EXPORT_PRICE","수출물가지수","402Y014","*AA",""
"AI1BE","O","IMPORT_PRICE","수입물가지수","401Y015","*AA",""
"AI1BFA","O","APARTMENT","아파트매매가격지수(서울)","901Y089","200",""
"AI1BH","O","HOUSE_JEONSE","주택전세가격지수(전도시)","901Y063","P64A",""
"AI1BHA","O","APARTMENT_JEONSE","아파트전세가격지수(서울)","901Y063","P64ACA",""
"AI1CA","O","M1","M1(계절조정평잔)","101Y018","BBLS00",NA
"AI1CB","O","M2","M2(계절조정평잔)","101Y003","BBHS00",NA
"AI1CC","O","Lf","Lf(금융기관유동성)","111Y003","LAS0000",NA
"AI1DA","O","CRRNT_ACC","경상수지","301Y013","000000",""
"AI1DAA","O","GOODS_BAL","상품수지","301Y013","100000",""
"AI1DAB","O","SERVICES_BAL","서비스수지","301Y013","200000",""
"AI1DB","O","FIN_ACC","금융계정","301Y013","BOPF00000000",""
"AI1DC","O","FOREIGN_RESERVES","외환보유액","732Y001","99",""
"AI1DG","O","NET_TERMS_TRADE","순상품교역조건지수","403Y005","A",""
